 POST        USINA       JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXXXX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX
MESPLAN =    8     ANOPLAN = 2024
  112                 339.00    179.00    248.00    435.00   1500.00    737.00    362.00    164.00    916.00    812.00   1164.00    524.00
  113                 366.00    197.00    286.00    654.00   2016.00    899.00    401.00    192.00   1074.00    896.00   1262.00    576.00
  114                 394.00    218.00    328.00    899.00   2590.00   1081.00    443.00    221.00   1251.00    991.00   1374.00    630.00
  115                  25.00     24.00     21.00     28.00     16.00     15.00     23.00     23.00     17.00     63.00     44.00     21.00
  116                  11.00      7.00      6.00      4.00      3.00      3.00      2.00      4.00      4.00      8.00      5.00      4.00
  117                  37.00     36.00     26.00     20.00     18.00     16.00     16.00     18.00     18.00     31.00     23.00     19.00
  118                  47.00     31.00     24.00     17.00     12.00     12.00     11.00     16.00     17.00     37.00     24.00     19.00
  119                  58.00     38.00     30.00     21.00     15.00     15.00     13.00     20.00     21.00     45.00     29.00     23.00
  120                  32.00     35.00     27.00     19.00     11.00      5.00     11.00     11.00     15.00     34.00     20.00     14.00
  121                 102.00    149.00    127.00     66.00     44.00     33.00     32.00     44.00     44.00     91.00     61.00     46.00
  122                 116.00    171.00    145.00     77.00     50.00     38.00     36.00     50.00     51.00    104.00     70.00     53.00
  123                 346.00    427.00    364.00    252.00    146.00    118.00    110.00    104.00    102.00    251.00    195.00    190.00
  125                 486.00    568.00    480.00    324.00    181.00    161.00    144.00    131.00    131.00    297.00    258.00    267.00
  126                 340.00    340.00    340.00    282.00     99.00     71.00     44.00     78.00     56.00    189.00    138.00    141.00
  127                 533.00    717.00    653.00    372.00    189.00    161.00    134.00    168.00    146.00    279.00    228.00    231.00
  129                 734.00    909.00    844.00    547.00    313.00    270.00    232.00    261.00    238.00    456.00    404.00    406.00
  130                 795.00   1000.00    939.00    609.00    349.00    298.00    253.00    291.00    265.00    492.00    442.00    438.00
  131                 144.00    144.00    144.00    144.00    117.00    103.00     92.00     85.00     85.00    144.00    144.00    144.00
  132                  38.00     32.00     31.00     15.00     10.00      9.00      9.00     12.00     10.00     18.00     16.00     15.00
  134                 248.00    199.00    188.00     80.00     48.00     39.00     31.00     49.00     47.00     43.00     57.00     68.00
  135                 151.00    145.00    145.00     86.00     53.00     47.00     41.00     59.00     54.00     75.00     85.00     61.00
  141                 790.00    792.00    643.00    372.00    234.00    206.00    181.00    261.00    254.00    230.00    312.00    262.00
  144                1092.00   1208.00    922.00    560.00    346.00    312.00    277.00    384.00    383.00    322.00    436.00    352.00
  145                 102.00    117.00    108.00     96.00     73.00     60.00     53.00     53.00     55.00     53.00     65.00     59.00
  148                 892.00    945.00    744.00    442.00    274.00    244.00    216.00    303.00    303.00    261.00    358.00    293.00
  149                 186.00    169.00    158.00     97.00     65.00     55.00     48.00     75.00     66.00     79.00    102.00     76.00
  154                 110.00    105.00    114.00    148.00    107.00     94.00     87.00     96.00     88.00     87.00     93.00    109.00
  155                 145.00    125.00    125.00     86.00     44.00     36.00     32.00     41.00     41.00     44.00     59.00     45.00
  156                 675.00    583.00    580.00    514.00    183.00    142.00     98.00    191.00    155.00    142.00    219.00    249.00
  158                  58.00     68.00     58.00     59.00     30.00     25.00     21.00     16.00     14.00     10.00     11.00      9.00
  160                  16.00     15.00     14.00      7.00      6.00      5.00      5.00      6.00      6.00     12.00      7.00      6.00
  161                 316.00    219.00    160.00     69.00     59.00     45.00     59.00     50.00     68.00    220.00    133.00     98.00
  164                 232.00    152.00    110.00     32.00     29.00     17.00     32.00     16.00     33.00    152.00     86.00     60.00
