NUM   TIPO   MODIF  MI ANOI MF ANOF
  65 POTEF   254.80  8 2024          DO ATLAN_CSA
  65 FCMAX     6.88  8 2024  8 2024  
  65 TEIFT     0.00  8 2024  9 2024  
  65 GTMIN    17.52  8 2024  8 2024  
  65 FCMAX    59.41  9 2024  9 2024  
  65 GTMIN   151.37  9 2024  9 2024  
  65 FCMAX    93.00 10 2024          
  65 GTMIN   233.71 10 2024  2 2025  
  65 IPTER     0.00  1 2025  2 2025  
  65 IPTER    12.90  3 2025  3 2025  
  65 GTMIN   203.56  3 2025  3 2025  
  65 IPTER     0.00  4 2025  9 2025  
  65 GTMIN   233.71  4 2025  9 2025  
  65 IPTER    12.90 10 2025 10 2025  
  65 GTMIN   203.56 10 2025 10 2025  
  65 IPTER     0.00 11 2025 12 2025  
  65 GTMIN   233.71 11 2025 12 2025  
  65 GTMIN   219.43  1 2026          
 183 POTEF   235.20  8 2024          DO_ATLANTICO
 183 FCMAX    80.97  8 2024  8 2024  
 183 TEIFT     0.00  8 2024  9 2024  
 183 GTMIN   190.43  8 2024  8 2024  
 183 FCMAX    92.98  9 2024  9 2024  
 183 GTMIN   218.68  9 2024  9 2024  
 183 FCMAX    93.00 10 2024 12 2025  
 183 IPTER     6.11 10 2024 12 2025  
 183 GTMIN   201.50 10 2024 12 2025  
 183 FCMAX     0.00  1 2026          
 137 POTEF  1338.30  8 2024          GNA I
 137 TEIFT     0.00  8 2024  9 2024  
 238 POTEF  1672.60  4 2025          GNA II
 238 GTMIN  1598.16  7 2025 10 2025  
 238 GTMIN  1278.58 11 2025 11 2025  
 238 GTMIN  1598.16  7 2026 10 2026  
 238 GTMIN  1278.58 11 2026 11 2026  
 238 GTMIN  1598.16  7 2027 10 2027  
 238 GTMIN  1278.58 11 2027 11 2027  
 238 GTMIN  1598.16  7 2028 10 2028  
 238 GTMIN  1278.58 11 2028 11 2028  
  63 POTEF   235.00  8 2024          IBIRITE
  63 TEIFT     0.00  8 2024  9 2024  
  63 IPTER     5.44  1 2026  6 2026  
  63 IPTER     5.80  7 2026          
  63 TEIFT     4.70  7 2026          
  54 POTEF    87.05  8 2024          JUIZ DE FORA
  54 FCMAX    95.20  8 2024  8 2024  
  54 TEIFT     0.00  8 2024  9 2024  
  54 FCMAX    96.50  9 2024  9 2024  
  54 FCMAX    99.94 10 2024          
 245 POTEF   258.64  8 2024  5 2026  KARKEY 013
 245 FCMAX    97.68  8 2024  8 2024  
 245 TEIFT     0.00  8 2024  9 2024  
 245 GTMIN    30.00  8 2024  9 2024  
 245 FCMAX    98.36  9 2024  9 2024  
 245 FCMAX    96.98 10 2024  5 2026  
 245 GTMIN    29.00 10 2024  5 2026  
 245 IPTER     0.00  1 2025  4 2025  
 245 IPTER     0.52  5 2025  5 2025  
 245 IPTER     0.00  6 2025 10 2025  
 245 IPTER     0.53 11 2025 11 2025  
 245 IPTER     0.00 12 2025 12 2025  
 246 POTEF   115.92  8 2024  5 2026  KARKEY 019
 246 FCMAX    98.62  8 2024  8 2024  
 246 TEIFT     0.00  8 2024  9 2024  
 246 FCMAX    99.38  9 2024  9 2024  
 246 FCMAX   100.00 10 2024  5 2026  
 246 IPTER     0.00  1 2025  1 2025  
 246 IPTER     0.56  2 2025  2 2025  
 246 IPTER     0.00  3 2025  3 2025  
 246 IPTER     2.63  4 2025  4 2025  
 246 IPTER     0.00  5 2025  7 2025  
 246 IPTER     0.17  8 2025  8 2025  
 246 IPTER     0.00  9 2025  9 2025  
 246 IPTER     0.51 10 2025 10 2025  
 246 IPTER     0.00 11 2025 12 2025  
  15 POTEF   204.00  8 2024  6 2026  LINHARES
  15 FCMAX   100.00  8 2024 12 2025  
  15 TEIFT     0.00  8 2024 11 2024  
  15 FCMAX     0.00  1 2026  6 2026  
 257 POTEF   204.00  7 2026          LINHARES LRC
 247 POTEF    36.00  8 2024  1 2026  LINHARES PCS
 247 TEIFT     0.00  8 2024  9 2024  
 247 FCMAX    32.25  1 2026  1 2026  
 236 POTEF   565.50  8 2024          MARLIM AZUL
 236 TEIFT     0.00  8 2024  9 2024  
 236 GTMIN   420.84 11 2024  4 2025  
 236 IPTER     0.00  1 2025  4 2025  
 236 IPTER   100.00  5 2025  6 2025  
 236 IPTER    96.77  7 2025  7 2025  
 236 IPTER     0.00  8 2025 12 2025  
 236 GTMIN   420.84 11 2025  4 2026  
 236 GTMIN   420.84 11 2026  4 2027  
 236 GTMIN   420.84 11 2027  4 2028  
 236 GTMIN   420.84 11 2028          
 110 POTEF   386.38  8 2024          N.PIRATINING
 110 FCMAX    99.90  8 2024  9 2024  
 110 TEIFT     0.00  8 2024  9 2024  
 110 FCMAX    97.00 10 2024          
 171 POTEF   400.00  8 2024          NORTEFLU-1
 171 FCMAX   100.00  8 2024          
 171 TEIFT     0.00  8 2024  9 2024  
 171 GTMIN   320.00  9 2024  9 2024  
 171 GTMIN   399.99 10 2024          
 172 POTEF   100.00  8 2024          NORTEFLU-2
 172 FCMAX   100.00  8 2024          
 172 TEIFT     0.00  8 2024  9 2024  
 173 POTEF   200.00  8 2024          NORTEFLU-3
 173 FCMAX   100.00  8 2024          
 173 TEIFT     0.00  8 2024  9 2024  
 174 POTEF   126.78  8 2024          NORTEFLU-4
 174 FCMAX    99.38  8 2024  9 2024  
 174 TEIFT     0.00  8 2024  9 2024  
 174 FCMAX   100.00 10 2024          
 229 POTEF    50.00  8 2024          ONCA PINTADA
 229 FCMAX   100.00  8 2024  9 2024  
 229 TEIFT     0.00  8 2024  9 2024  
 229 GTMIN    24.00  9 2024  9 2024  
 229 FCMAX    95.00 10 2024          
 229 GTMIN    27.44 10 2024 11 2024  
 229 IPTER     0.00  1 2025  1 2025  
 229 IPTER    14.29  2 2025  2 2025  
 229 IPTER     0.00  3 2025 12 2025  
 229 GTMIN    27.44  9 2025 11 2025  
 229 GTMIN    27.44  9 2026 11 2026  
 229 GTMIN    27.44  9 2027 11 2027  
 229 GTMIN    27.44  9 2028 11 2028  
 182 POTEF   175.56  8 2024          PALMEIRAS GO
 182 FCMAX    11.39  8 2024  8 2024  
 182 TEIFT     0.00  8 2024  9 2024  
 182 FCMAX    47.85  9 2024  9 2024  
 182 FCMAX    80.00 10 2024 12 2025  
 182 FCMAX     0.00  1 2026          
 248 POTEF    15.95  8 2024 12 2025  PAULINIA VER
 248 TEIFT     0.00  8 2024  9 2024  
 248 GTMIN    15.70  8 2024  9 2024  
 248 GTMIN    15.68 10 2024 12 2024  
 248 GTMIN    15.58  1 2025 12 2025  
  50 POTEF   200.00  8 2024          PIRAT.12 G
  50 FCMAX     0.00  8 2024          
 249 POTEF   115.92  8 2024  5 2026  PORSUD I
 249 FCMAX    98.62  8 2024  8 2024  
 249 TEIFT     0.00  8 2024  9 2024  
 249 FCMAX    99.38  9 2024  9 2024  
 249 FCMAX   100.00 10 2024  5 2026  
 249 IPTER     0.00  1 2025  9 2025  
 249 IPTER     2.15 10 2025 10 2025  
 249 IPTER     1.11 11 2025 11 2025  
 249 IPTER     0.00 12 2025 12 2025  
 250 POTEF    78.32  8 2024  5 2026  PORSUD II
 250 FCMAX    98.19  8 2024  8 2024  
 250 TEIFT     0.00  8 2024  9 2024  
 250 FCMAX    98.57  9 2024  9 2024  
 250 FCMAX    97.25 10 2024  5 2026  
 250 IPTER     0.00  1 2025  9 2025  
 250 IPTER     3.23 10 2025 10 2025  
 250 IPTER     0.00 11 2025 12 2025  
 251 POTEF    74.96  8 2024  1 2026  POVOACAO 1
 251 TEIFT     0.00  8 2024  9 2024  
 251 FCMAX    31.88  1 2026  1 2026  
  62 POTEF   360.00  8 2024          SEROPEDICA
  62 FCMAX    77.42  8 2024  8 2024  
  62 TEIFT     0.00  8 2024  9 2024  
  62 FCMAX   100.00  9 2024          
   4 POTEF   436.00  8 2024          ST.CRUZ 34
   4 FCMAX     0.00  8 2024          
  86 POTEF   500.00  8 2024          ST.CRUZ NOVA
  86 TEIFT     0.00  8 2024 11 2024  
  86 FCMAX     0.00  1 2027          
 146 POTEF    41.40  8 2024          STA VITORIA
 146 FCMAX    99.03  8 2024  9 2024  
 146 TEIFT     0.00  8 2024  9 2024  
 146 GTMIN    18.00  8 2024  9 2024  
 146 FCMAX    93.00 10 2024          
 146 GTMIN    16.00 10 2024 12 2024  
 146 IPTER   100.00  1 2025  2 2025  
 146 IPTER     0.00  3 2025 12 2025  
 146 GTMIN    16.00  3 2025          
 194 POTEF   349.00  8 2024          T. NORTE 2
 194 FCMAX     0.00  8 2024          
  90 POTEF   928.70  8 2024          TERMOMACAE
  90 FCMAX    92.06  8 2024  9 2024  
  90 TEIFT     0.00  8 2024  9 2024  
  90 FCMAX    99.99 10 2024 12 2025  
  90 IPTER     4.96  1 2025  1 2025  
  90 IPTER     5.13  2 2025  2 2025  
  90 IPTER     0.50  3 2025  3 2025  
  90 IPTER     0.00  4 2025 12 2025  
  90 FCMAX     0.00  1 2026          
  47 POTEF   989.20  8 2024  6 2026  TERMORIO
  47 FCMAX    85.27  8 2024  8 2024  
  47 TEIFT     0.00  8 2024  9 2024  
  47 FCMAX    95.87  9 2024  9 2024  
  47 FCMAX   100.00 10 2024 12 2024  
  47 GTMIN   100.50 10 2024 12 2024  
  47 FCMAX     0.00  1 2025  6 2026  
  47 POTEF  1058.30  7 2026          TERMORIO
  47 FCMAX    93.47  7 2026          
  47 IPTER     5.20  7 2026          
  47 TEIFT     6.00  7 2026          
  68 POTEF   350.00  8 2024          TRES LAGOAS
  68 TEIFT     0.00  8 2024  9 2024  
  49 POTEF   174.60  8 2024          VIANA
  49 FCMAX   100.00  8 2024 12 2024  
  49 TEIFT     0.00  8 2024  9 2024  
  49 FCMAX     0.00  1 2025          
 253 POTEF    37.48  8 2024 12 2025  VIANA 1
 253 TEIFT     0.00  8 2024  9 2024  
 334 POTEF   177.12  8 2024          W. ARJONA
 334 FCMAX     0.00  8 2024  6 2026  
 334 FCMAX    84.69  7 2026          
 334 IPTER     3.49  7 2026          
 334 TEIFT     2.50  7 2026          
 334 GTMIN   138.00  7 2026          
 108 POTEF    53.58  8 2024          XAVANTES
 108 FCMAX     0.00  8 2024          
  48 POTEF   484.15  8 2024          ARAUCARIA
  48 FCMAX     0.00  8 2024          
 254 POTEF    10.32  8 2024 12 2025  B. BONITA I
 254 FCMAX    91.01  8 2024 12 2025  
 254 TEIFT     0.00  8 2024  9 2024  
 254 GTMIN     3.70  8 2024 12 2025  
 254 IPTER     0.00  1 2025  9 2025  
 254 IPTER    22.58 10 2025 10 2025  
 254 IPTER    30.00 11 2025 11 2025  
 254 IPTER     0.00 12 2025 12 2025  
 156 POTEF   350.00  8 2024          CANDIOTA 3
 156 FCMAX     2.15  8 2024  8 2024  
 156 TEIFT     0.00  8 2024  9 2024  
 156 GTMIN     5.48  8 2024  8 2024  
 156 FCMAX    87.83  9 2024  9 2024  
 156 GTMIN   226.00  9 2024  9 2024  
 156 FCMAX   100.00 10 2024 12 2024  
 156 GTMIN   210.00 10 2024 12 2024  
 156 FCMAX     0.00  1 2025          
  64 POTEF   248.57  8 2024          CANOAS
  64 FCMAX    97.80  8 2024  9 2024  
  64 TEIFT     0.00  8 2024  9 2024  
  64 FCMAX   100.00 10 2024          
  28 POTEF    20.00  8 2024          FIGUEIRA
  28 FCMAX     0.00  8 2024          
  26 POTEF    80.00  8 2024          J.LACERDA A1
  26 TEIFT     0.00  8 2024  9 2024  
  26 GTMIN    71.89 10 2024 12 2024  
  26 IPTER     0.00  1 2025  2 2025  
  26 IPTER    25.81  3 2025  3 2025  
  26 IPTER    48.33  4 2025  4 2025  
  26 IPTER     0.00  5 2025 12 2025  
  26 GTMIN    71.89  6 2025 12 2025  
  26 GTMIN    56.89  6 2026 12 2026  
  26 GTMIN    56.89  6 2027 12 2027  
  26 GTMIN    56.89  6 2028          
  27 POTEF   110.00  8 2024          J.LACERDA A2
  27 TEIFT     0.00  8 2024  9 2024  
  27 GTMIN     3.23  8 2024  8 2024  
  27 GTMIN   100.42 10 2024 12 2024  
  27 GTMIN    87.36  6 2025 12 2025  
  27 GTMIN    87.36  6 2026 12 2026  
  27 GTMIN    87.36  6 2027 12 2027  
  27 GTMIN    87.36  6 2028          
  25 POTEF   220.00  8 2024          J.LACERDA B
  25 TEIFT     0.00  8 2024  9 2024  
  25 GTMIN    14.19  8 2024  8 2024  
  25 GTMIN   100.95 10 2024 10 2024  
  25 GTMIN   104.32 11 2024 11 2024  
  25 GTMIN   201.91 12 2024 12 2024  
  25 GTMIN   174.41  6 2025 12 2025  
  25 GTMIN   174.41  6 2026 12 2026  
  25 GTMIN   174.41  6 2027 12 2027  
  25 GTMIN   174.41  6 2028          
  24 POTEF   330.00  8 2024          J.LACERDA C
  24 TEIFT     0.00  8 2024  9 2024  
  24 GTMIN    19.35  8 2024  8 2024  
  24 GTMIN   305.01 10 2024 12 2024  
  24 IPTER     0.00  1 2025  7 2025  
  24 GTMIN   256.00  1 2025  1 2025  
  24 GTMIN   305.01  6 2025  7 2025  
  24 IPTER    48.39  8 2025  8 2025  
  24 GTMIN   157.41  8 2025  8 2025  
  24 IPTER   100.00  9 2025  9 2025  
  24 IPTER    16.13 10 2025 10 2025  
  24 GTMIN   255.81 10 2025 10 2025  
  24 IPTER     0.00 11 2025 12 2025  
  24 GTMIN   305.01 11 2025 12 2025  
  24 GTMIN   256.00  1 2026  1 2026  
  24 GTMIN   261.39  6 2026 12 2026  
  24 GTMIN   256.00  1 2027  1 2027  
  24 GTMIN   261.39  6 2027 12 2027  
  24 GTMIN   256.00  1 2028  1 2028  
  24 GTMIN   261.39  6 2028          
 107 POTEF   345.00  8 2024          PAMPA SUL
 107 FCMAX    97.23  8 2024  8 2024  
 107 TEIFT     0.00  8 2024  9 2024  
 107 FCMAX    40.19  9 2024  9 2024  
 107 FCMAX   100.00 10 2024          
 107 GTMIN   259.15 10 2024 11 2024  
 107 GTMIN   211.00 12 2024 12 2024  
 107 GTMIN   139.00  1 2025  1 2025  
 107 GTMIN   229.95  2 2025  3 2025  
 107 GTMIN   229.95  5 2025  6 2025  
 107 GTMIN   229.95 10 2025 11 2025  
 107 GTMIN   211.00 12 2025 12 2025  
 107 GTMIN   139.00  1 2026  1 2026  
 107 GTMIN   229.95  2 2026  3 2026  
 107 GTMIN   229.95  5 2026  6 2026  
 107 GTMIN   229.95 10 2026 11 2026  
 107 GTMIN   211.00 12 2026 12 2026  
 107 GTMIN   139.00  1 2027  1 2027  
 107 GTMIN   229.95  2 2027  3 2027  
 107 GTMIN   229.95  5 2027  6 2027  
 107 GTMIN   229.95 10 2027 11 2027  
 107 GTMIN   211.00 12 2027 12 2027  
 107 GTMIN   139.00  1 2028  1 2028  
 107 GTMIN   229.95  2 2028  3 2028  
 107 GTMIN   229.95  5 2028  6 2028  
 107 GTMIN   229.95 10 2028 11 2028  
 107 GTMIN   211.00 12 2028          
 149 POTEF     8.00  8 2024          SAO SEPE
 149 FCMAX   100.00  8 2024  9 2024  
 149 TEIFT     0.00  8 2024  9 2024  
 149 GTMIN     4.00  8 2024  9 2024  
 149 FCMAX    90.00 10 2024          
 258 POTEF    28.02  7 2026          TROMBUDO
  35 POTEF   639.90  8 2024          URUGUAIANA
  35 FCMAX     0.00  8 2024          
 235 POTEF   144.45 10 2024          CAMACARI MII
  52 POTEF   169.08  8 2024          CAMPINA GDE
  52 FCMAX    99.95  8 2024  9 2024  
  52 TEIFT     0.00  8 2024  9 2024  
  52 FCMAX   100.00 10 2024 12 2024  
  52 FCMAX     0.00  1 2025          
 106 POTEF    16.79  8 2024          ERB CANDEIAS
 106 FCMAX    66.89  8 2024  8 2024  
 106 TEIFT     0.00  8 2024  9 2024  
 106 GTMIN     3.27  8 2024  8 2024  
 106 FCMAX    71.47  9 2024  9 2024  
 106 GTMIN     3.50  9 2024  9 2024  
 106 FCMAX    76.83 10 2024          
 106 GTMIN     4.00 10 2024  8 2025  
 106 IPTER     0.00  1 2025  8 2025  
 106 IPTER   100.00  9 2025  9 2025  
 106 IPTER     0.00 10 2025 12 2025  
 106 GTMIN     4.00 10 2025          
  53 POTEF   148.80  8 2024          GLOBAL I
  53 FCMAX    96.77  8 2024  9 2024  
  53 TEIFT     0.00  8 2024  9 2024  
  53 FCMAX   100.00 10 2024 12 2024  
  53 FCMAX     0.00  1 2025          
  55 POTEF   148.80  8 2024          GLOBAL II
  55 FCMAX    96.77  8 2024  9 2024  
  55 TEIFT     0.00  8 2024  9 2024  
  55 FCMAX   100.00 10 2024 12 2024  
  55 FCMAX     0.00  1 2025          
  57 POTEF   168.00  8 2024          MARACANAU I
  57 FCMAX    96.89  8 2024  8 2024  
  57 TEIFT     0.00  8 2024  9 2024  
  57 FCMAX    97.00  9 2024  9 2024  
  57 FCMAX    97.62 10 2024 12 2024  
  57 FCMAX     0.00  1 2025          
 167 POTEF   720.28  8 2024          P. PECEM I
 167 FCMAX    99.96  8 2024  6 2027  
 167 TEIFT     0.00  8 2024  9 2024  
 167 IPTER     0.00  1 2025  3 2025  
 167 IPTER     1.67  4 2025  4 2025  
 167 IPTER    17.74  5 2025  5 2025  
 167 IPTER     0.00  6 2025  9 2025  
 167 IPTER    19.35 10 2025 10 2025  
 167 IPTER     0.00 11 2025 12 2025  
 167 FCMAX    74.16  7 2027  7 2027  
 167 FCMAX     0.00  8 2027          
 163 POTEF   365.00  8 2024          P. PECEM II
 163 FCMAX   100.00  8 2024  8 2028  
 163 TEIFT     0.00  8 2024  9 2024  
 163 FCMAX     6.67  9 2028  9 2028  
 163 FCMAX     0.00 10 2028          
 224 POTEF  1593.20  8 2024          P. SERGIPE I
 224 FCMAX    99.99  8 2024 11 2024  
 224 TEIFT     0.00  8 2024 11 2024  
 224 FCMAX   100.00 12 2024          
 162 POTEF   144.45 10 2024          PECEM II
  98 POTEF   200.79  8 2024          PERNAMBU_III
  98 TEIFT     0.00  8 2024  9 2024  
  98 FCMAX    99.98 10 2024 11 2028  
  98 FCMAX    93.53 12 2028          
 144 POTEF   136.20  8 2024          PETROLINA
 144 FCMAX     0.00  8 2024          
 151 POTEF    53.12  8 2024          POTIGUAR
 151 FCMAX     0.00  8 2024          
 161 POTEF    66.40  8 2024          POTIGUAR III
 161 FCMAX     0.00  8 2024          
 223 POTEF    55.99  8 2024          PROSPERI III
 223 TEIFT     0.00  8 2024  9 2024  
 241 POTEF    37.44  8 2024          PROSPERID II
 241 FCMAX    99.89  8 2024  9 2024  
 241 TEIFT     0.00  8 2024  9 2024  
 241 FCMAX   100.00 10 2024          
 147 POTEF    28.02  8 2024          PROSPERIDADE
 147 FCMAX    99.92  8 2024  9 2024  
 147 TEIFT     0.00  8 2024  9 2024  
 147 FCMAX   100.00 10 2024          
 170 POTEF   381.26  8 2024          SUAPE II
 170 TEIFT     0.00  8 2024  9 2024  
 170 IPTER     0.38  1 2025  1 2025  
 170 IPTER     0.00  2 2025  5 2025  
 170 IPTER     0.39  6 2025  6 2025  
 170 IPTER     0.38  7 2025  7 2025  
 170 IPTER     2.09  8 2025  8 2025  
 170 IPTER     0.00  9 2025  9 2025  
 170 IPTER     0.38 10 2025 10 2025  
 170 IPTER     0.39 11 2025 11 2025  
 170 IPTER     0.38 12 2025 12 2025  
 170 FCMAX     0.00  1 2027          
  43 POTEF   185.90  8 2024          TERMOBAHIA
  43 FCMAX    73.26  8 2024  8 2024  
  43 TEIFT     0.00  8 2024  9 2024  
  43 FCMAX    85.48  9 2024  9 2024  
  43 FCMAX    85.50 10 2024          
 152 POTEF    49.73  8 2024          TERMOCABO
 152 FCMAX    99.95  8 2024  9 2024  
 152 TEIFT     0.00  8 2024  9 2024  
 152 FCMAX    99.99 10 2024 12 2024  
 152 FCMAX     0.00  1 2025          
  58 POTEF   223.00  8 2024          TERMOCEARA
  58 FCMAX    82.31  8 2024  8 2024  
  58 TEIFT     0.00  8 2024  9 2024  
  58 FCMAX    91.35  9 2024  9 2024  
  58 FCMAX    98.65 10 2024 12 2024  
  58 FCMAX     0.00  1 2025          
  67 POTEF   170.85  8 2024          TERMONE
  67 FCMAX    94.82  8 2024  9 2024  
  67 TEIFT     0.00  8 2024  9 2024  
  67 FCMAX    94.99 10 2024 12 2024  
  67 FCMAX     0.00  1 2025          
  69 POTEF   170.85  8 2024          TERMOPB
  69 FCMAX    94.82  8 2024  9 2024  
  69 TEIFT     0.00  8 2024  9 2024  
  69 FCMAX    95.00 10 2024 12 2024  
  69 FCMAX     0.00  1 2025          
  96 POTEF   550.00  8 2024          TERMOPE
  96 FCMAX     0.00  8 2024  6 2026  
  96 FCMAX   100.00  7 2026          
  96 IPTER     6.08  7 2026          
  96 TEIFT     1.37  7 2026          
  83 POTEF   367.90  8 2024          VALE DO ACU
  83 FCMAX    29.90  8 2024          
  83 TEIFT     0.00  8 2024  9 2024  
 201 POTEF   166.00  8 2024          APARECIDA
 201 FCMAX    75.20  8 2024  8 2024  
 201 TEIFT     0.00  8 2024  9 2024  
 201 GTMIN    75.00  8 2024  9 2024  
 201 FCMAX    99.33  9 2024  9 2024  
 201 FCMAX   100.00 10 2024          
 201 GTMIN   127.50 10 2024          
 260 POTEF   295.43  9 2026          AZULAO
 262 POTEF   295.43  1 2027          AZULAO II
 262 GTMIN    97.21  1 2027  2 2027  
 262 GTMIN    89.60  3 2027  3 2027  
 262 GTMIN    97.21  5 2027  5 2027  
 262 GTMIN   277.76  6 2027 12 2027  
 262 GTMIN    97.21  1 2028  2 2028  
 262 GTMIN    89.60  3 2028  3 2028  
 262 GTMIN    97.21  5 2028  5 2028  
 262 GTMIN   277.76  6 2028          
 263 POTEF   295.43  1 2027          AZULAO IV
 263 GTMIN    97.21  1 2027  2 2027  
 263 GTMIN    89.60  3 2027  3 2027  
 263 GTMIN    97.21  5 2027  5 2027  
 263 GTMIN   277.76  6 2027 12 2027  
 263 GTMIN    97.21  1 2028  2 2028  
 263 GTMIN    89.60  3 2028  3 2028  
 263 GTMIN    97.21  5 2028  5 2028  
 263 GTMIN   277.76  6 2028          
 322 POTEF    17.94  1 2026          BBF BALIZA
 322 FCMAX    92.75  1 2026          
 322 GTMIN     6.66  1 2026  1 2026  
 322 GTMIN    15.51  2 2026  4 2026  
 322 GTMIN     6.66  5 2026  6 2026  
 322 GTMIN    10.44  7 2026  7 2026  
 322 GTMIN     6.66  8 2026  8 2026  
 322 GTMIN    15.51  9 2026 11 2026  
 322 GTMIN     6.66 12 2026 12 2026  
 322 GTMIN    13.54  1 2027  1 2027  
 322 GTMIN    15.51  2 2027  4 2027  
 322 GTMIN     6.66  5 2027  6 2027  
 322 GTMIN    15.51  7 2027 12 2027  
 322 GTMIN    12.72  1 2028  1 2028  
 322 GTMIN    15.51  2 2028  4 2028  
 322 GTMIN     6.66  5 2028  6 2028  
 322 GTMIN    15.51  7 2028          
 323 POTEF    11.50  1 2026          BONFIM
 323 GTMIN    11.03  1 2026  4 2026  
 323 GTMIN     4.08  5 2026  6 2026  
 323 GTMIN    11.03  7 2026  5 2027  
 323 GTMIN     4.08  6 2027  6 2027  
 323 GTMIN    11.03  7 2027  5 2028  
 323 GTMIN     4.08  6 2028  6 2028  
 323 GTMIN    11.03  7 2028          
 203 POTEF    85.38  8 2024          C. ROCHA
 203 FCMAX    76.13  8 2024  9 2024  
 203 TEIFT     0.00  8 2024  9 2024  
 203 GTMIN    64.99  8 2024  9 2024  
 203 FCMAX   100.00 10 2024  5 2025  
 203 IPTER    20.72 10 2024  5 2025  
 203 GTMIN    67.00 10 2024  5 2025  
 203 FCMAX     0.00  6 2025          
 324 POTEF    11.50  1 2026          CANTA
 324 GTMIN    11.03  1 2026  4 2026  
 324 GTMIN     4.08  5 2026  6 2026  
 324 GTMIN    11.03  7 2026  4 2027  
 324 GTMIN     8.60  5 2027  5 2027  
 324 GTMIN     4.08  6 2027  6 2027  
 324 GTMIN    11.03  7 2027  5 2028  
 324 GTMIN     4.08  6 2028  6 2028  
 324 GTMIN    11.03  7 2028          
  73 POTEF   165.87  8 2024          GERAMAR I
  73 FCMAX    95.98  8 2024  9 2024  
  73 TEIFT     0.00  8 2024  9 2024  
  73 FCMAX    96.00 10 2024 12 2024  
  73 FCMAX     0.00  1 2025          
  70 POTEF   165.87  8 2024          GERAMAR II
  70 FCMAX    95.98  8 2024  9 2024  
  70 TEIFT     0.00  8 2024  9 2024  
  70 FCMAX    96.00 10 2024 12 2024  
  70 FCMAX     0.00  1 2025          
 325 POTEF    56.95  1 2026          HF S JOAQUIM
 325 GTMIN    25.71  1 2026  1 2026  
 325 GTMIN    31.50  2 2026  2 2026  
 325 GTMIN    27.92  3 2026  3 2026  
 325 GTMIN    30.62  4 2026  4 2026  
 325 GTMIN    25.71  5 2026  9 2026  
 325 GTMIN    47.88 10 2026 10 2026  
 325 GTMIN    53.07 11 2026 11 2026  
 325 GTMIN    25.71 12 2026  1 2027  
 325 GTMIN    53.07  2 2027  4 2027  
 325 GTMIN    25.71  5 2027  6 2027  
 325 GTMIN    32.75  7 2027  7 2027  
 325 GTMIN    53.07  8 2027 11 2027  
 325 GTMIN    30.93 12 2027 12 2027  
 325 GTMIN    25.71  1 2028  1 2028  
 325 GTMIN    43.99  2 2028  2 2028  
 325 GTMIN    49.10  3 2028  3 2028  
 325 GTMIN    36.32  4 2028  4 2028  
 325 GTMIN    25.71  5 2028  6 2028  
 325 GTMIN    44.92  7 2028  7 2028  
 325 GTMIN    53.07  8 2028 11 2028  
 325 GTMIN    35.52 12 2028          
 326 POTEF   140.83  1 2026          JAGUATIRI II
