***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  NEWAVE - 30.0.1              *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

 PMO - AGOSTO - 2024 - sombra Hibrido - NW Versao 29.4                           
____________________________________________________________________


---------------------------------------------------------------------------------
Relatorio de dados para a modelagem da funcao de producao das usinas hidroeletricas
---------------------------------------------------------------------------------
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
USIH;IPER;    Nome     ;      Opcoes    ;;;;     Discretiz. Q    ;;;    Discretiz. V     ;;;    Janela GH   ;;
  - ;    ;     -       ;Tipo;Conv;Alfa;Rems; Npt ;   Qmin ;  Qmax  ; Npt ;  Vmin  ;  Vmax  ;  GHmin ; GHmax  ;
  - ;    ;             ;    ;    ;    ;    ;     ; (m3/s) ; (m3/s) ;     ; (hm3)  ; (hm3)  ;  (MW)  ;  (MW)  ;
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
  77;   8; SLT.SANTIAGO;  2 ;  1 ;  1 ;  0 ;    5;     0.0;  1546.2;    5;  2662.0;  6775.0;     0.0;  1420.0;
  78;   8; SALTO OSORIO;  2 ;  1 ;  1 ;  0 ;    5;     0.0;  1868.8;    1;  1090.9;  1090.9;     0.0;  1090.8;
  82;   8; SALTO CAXIAS;  2 ;  1 ;  1 ;  0 ;    5;     0.0;  2162.7;    1;  3472.5;  3472.5;     0.0;  1240.0;
  83;   8; BAIXO IGUACU;  2 ;  1 ;  1 ;  0 ;    5;     0.0;  2401.9;    1;   201.2;   201.2;     0.0;   350.2;
  86;   8; BARRA GRANDE;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   503.3;    5;  2711.8;  4904.5;     0.0;   690.0;
  88;   8; SAO ROQUE   ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   343.0;    5;   336.7;   795.7;     0.0;   141.9;
  89;   8; GARIBALDI   ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   516.6;    5;   232.0;   296.0;     0.0;   189.0;
  90;   8; CAMPOS NOVOS;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   545.9;    5;  1320.0;  1477.0;     0.0;   880.0;
  91;   8; MACHADINHO  ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;  1290.7;    5;  2283.0;  3340.0;     0.0;  1140.0;
  92;   8; ITA         ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;  1585.6;    1;  4924.3;  4924.3;     0.0;  1450.0;
