data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2024-08-01,UFV,SUDESTE,1,1233.0,0.2845,350.78849999999994,351.0,351.0,0.0
2024-09-01,UFV,SUDESTE,1,1616.0,0.7796,1259.8336,1260.0,1260.0,0.0
2024-10-01,UFV,SUDESTE,1,1426.0,0.7442,1061.2292,1061.0,1061.0,0.0
2024-11-01,UFV,SUDESTE,1,1572.0,0.8172,1284.6384,1285.0,1285.0,0.0
2024-12-01,UFV,SUDESTE,1,1408.0,0.8361,1177.2287999999999,1177.0,1177.0,0.0
2025-01-01,UFV,SUDESTE,1,1464.0,0.8852,1295.9328,1296.0,1296.0,0.0
2025-02-01,UFV,SUDESTE,1,1596.0,0.8929,1425.0684,1425.0,1425.0,0.0
2025-03-01,UFV,SUDESTE,1,1618.0,0.8509,1376.7562,1377.0,1377.0,0.0
2025-04-01,UFV,SUDESTE,1,1568.0,0.7271,1140.0928,1140.0,1140.0,0.0
2025-05-01,UFV,SUDESTE,1,1697.0,0.2201,373.5097,374.0,374.0,0.0
2025-06-01,UFV,SUDESTE,1,1564.0,0.2355,368.322,368.0,368.0,0.0
2025-07-01,UFV,SUDESTE,1,1722.0,0.2705,465.80100000000004,466.0,466.0,0.0
2025-08-01,UFV,SUDESTE,1,1811.0,0.2875,520.6624999999999,521.0,521.0,0.0
2025-09-01,UFV,SUDESTE,1,2295.0,0.7746,1777.7069999999999,1778.0,1778.0,0.0
2025-10-01,UFV,SUDESTE,1,2144.0,0.7431,1593.2064,1593.0,1593.0,0.0
2025-11-01,UFV,SUDESTE,1,2306.0,0.8123,1873.1638,1873.0,1873.0,0.0
2025-12-01,UFV,SUDESTE,1,2051.0,0.8304,1703.1504,1703.0,1703.0,0.0
2026-01-01,UFV,SUDESTE,1,2075.0,0.8912,1849.24,1849.0,1849.0,0.0
2026-02-01,UFV,SUDESTE,1,2173.0,0.8977,1950.7021000000002,1951.0,1951.0,0.0
2026-03-01,UFV,SUDESTE,1,2141.0,0.8425,1803.7925,1804.0,1804.0,0.0
2026-04-01,UFV,SUDESTE,1,1901.0,0.7285,1384.8785,1385.0,1385.0,0.0
2026-05-01,UFV,SUDESTE,1,1916.0,0.2218,424.9688,425.0,425.0,0.0
2026-06-01,UFV,SUDESTE,1,1763.0,0.2335,411.6605,412.0,412.0,0.0
2026-07-01,UFV,SUDESTE,1,1912.0,0.2706,517.3872,517.0,517.0,0.0
2026-08-01,UFV,SUDESTE,1,1974.0,0.2877,567.9198,568.0,568.0,0.0
2026-09-01,UFV,SUDESTE,1,2484.0,0.7784,1933.5456,1934.0,1934.0,0.0
2026-10-01,UFV,SUDESTE,1,2138.0,0.7489,1601.1482,1601.0,1601.0,0.0
2026-11-01,UFV,SUDESTE,1,2306.0,0.8123,1873.1638,1873.0,1873.0,0.0
2026-12-01,UFV,SUDESTE,1,2051.0,0.8304,1703.1504,1703.0,1703.0,0.0
2027-01-01,UFV,SUDESTE,1,2066.0,0.8954,1849.8963999999999,1850.0,1850.0,0.0
