data,valor,ree,pmo,erro
1957-07-01,2173.5,SUDESTE,2173.5,0.0
1957-08-01,1763.6,SUDESTE,1763.6,0.0
1957-09-01,2188.8,SUDESTE,2188.8,0.0
1957-10-01,1927.3,SUDESTE,1927.3,0.0
1957-11-01,3330.2,SUDESTE,3330.2,0.0
1957-12-01,5211.7,SUDESTE,5211.6,0.0
1958-01-01,5625.5,SUDESTE,5625.4,0.0
1958-02-01,9992.1,SUDESTE,9992.0,0.0
1958-03-01,7073.9,SUDESTE,7073.9,0.0
1958-04-01,6945.1,SUDESTE,6945.0,0.0
1958-05-01,4436.6,SUDESTE,4436.6,0.0
1958-06-01,2902.5,SUDESTE,2902.4,0.0
1958-07-01,2328.1,SUDESTE,2328.1,0.0
1958-08-01,1697.4,SUDESTE,1697.4,0.0
1958-09-01,1866.9,SUDESTE,1866.9,0.0
1958-10-01,2393.6,SUDESTE,2393.6,0.0
1958-11-01,2752.9,SUDESTE,2752.9,0.0
1958-12-01,4570.9,SUDESTE,4570.8,0.0
1959-01-01,12470.6,SUDESTE,12470.5,0.0
1959-02-01,6509.0,SUDESTE,6508.9,0.0
1959-03-01,7626.6,SUDESTE,7626.5,0.0
1959-04-01,4400.7,SUDESTE,4400.7,0.0
1959-05-01,2382.6,SUDESTE,2382.6,0.0
1959-06-01,1860.1,SUDESTE,1860.1,0.0
1959-07-01,1517.7,SUDESTE,1517.7,0.0
1959-08-01,1427.5,SUDESTE,1427.5,0.0
1959-09-01,1241.2,SUDESTE,1241.2,0.0
1959-10-01,1828.3,SUDESTE,1828.2,0.0
1959-11-01,3409.1,SUDESTE,3409.1,0.0
1959-12-01,3360.2,SUDESTE,3360.1,0.0
1960-01-01,7671.9,SUDESTE,7671.9,0.0
1960-02-01,10482.2,SUDESTE,10482.1,0.0
1960-03-01,11671.2,SUDESTE,11671.1,0.0
1960-04-01,6146.0,SUDESTE,6145.9,0.0
1960-05-01,3330.9,SUDESTE,3330.9,0.0
1960-06-01,2436.5,SUDESTE,2436.5,0.0
1960-07-01,1958.2,SUDESTE,1958.2,0.0
1960-08-01,1677.0,SUDESTE,1677.0,0.0
1960-09-01,1319.9,SUDESTE,1319.9,0.0
1960-10-01,1623.1,SUDESTE,1623.1,0.0
1960-11-01,3273.3,SUDESTE,3273.2,0.0
1960-12-01,6893.8,SUDESTE,6893.7,0.0
1961-01-01,9858.1,SUDESTE,9858.0,0.0
1961-02-01,10639.0,SUDESTE,10638.9,0.0
1961-03-01,8275.4,SUDESTE,8275.3,0.0
1961-04-01,4603.6,SUDESTE,4603.5,0.0
1961-05-01,3913.3,SUDESTE,3913.3,0.0
1961-06-01,2335.9,SUDESTE,2335.9,0.0
1961-07-01,1817.6,SUDESTE,1817.6,0.0
1961-08-01,1545.6,SUDESTE,1545.6,0.0
1961-09-01,1301.3,SUDESTE,1301.3,0.0
1961-10-01,1298.8,SUDESTE,1298.8,0.0
1961-11-01,1817.1,SUDESTE,1817.1,0.0
1961-12-01,3356.7,SUDESTE,3356.6,0.0
1962-01-01,6220.0,SUDESTE,6219.9,0.0
1962-02-01,7733.3,SUDESTE,7733.3,0.0
1962-03-01,8046.4,SUDESTE,8046.3,0.0
1962-04-01,3733.4,SUDESTE,3733.4,0.0
1962-05-01,2593.5,SUDESTE,2593.5,0.0
